order_id,Timestamp,Order_details,Amount_ordered,Price
125,2016-01-02 20:31:06,['the_greek_xl'],1,25.5
126,2016-01-02 20:31:06,['veggie_veg_l'],1,20.25
127,2016-02-01 00:00:00,['pepperoni_m'],1,12.5
128,2016-01-02 00:00:00,['spicy_ital_s'],1,12.5
129,2016-01-02 00:00:00,"['big_meat_s', 'the_greek_m']",2,28.0
130,2016-01-02 00:00:00,"['the_greek_m', 'ital_cpcllo_l', 'mexicana_m', 'southw_ckn_s']",4,65.25
131,2016-01-02 21:33:10,"['ckn_pesto_l', 'five_cheese_l', 'five_cheese_l', 'spinach_supr_s']",4,70.25
132,2016-01-02 21:42:45,['pepperoni_s'],1,9.75
133,2016-01-02 22:00:17,"['bbq_ckn_l', 'bbq_ckn_l', 'the_greek_s']",3,53.5
134,2016-01-02 22:00:17,"['big_meat_s', 'southw_ckn_l', 'southw_ckn_l']",3,53.5
135,2016-02-01 22:00:17,['veggie_veg_l'],1,20.25
136,2016-01-02 22:00:17,"['five_cheese_l', 'peppr_salami_s']",2,31.0
137,2016-01-03 11:34:10,"['peppr_salami_s', 'pepperoni_s', 'spicy_ital_m']",3,38.75
138,2016-01-03 11:44:00,"['cali_ckn_m', 'four_cheese_l', 'ital_veggie_l', 'sicilian_m']",4,71.95
139,2016-03-01 00:00:00,['five_cheese_l'],1,18.5
140,2016-01-03 00:00:00,"['prsc_argla_s', 'veggie_veg_m']",2,28.5
141,2016-01-03 00:00:00,['classic_dlx_m'],1,16.0
142,2016-01-03 00:00:00,['classic_dlx_m'],1,16.0
143,2016-01-03 00:00:00,"['cali_ckn_s', 'classic_dlx_s', 'hawaiian_l', 'mexicana_m', 'mexicana_m', 'prsc_argla_s', 'thai_ckn_l', 'veggie_veg_m']",8,122.5
144,2016-01-03 00:00:00,"['bbq_ckn_m', 'bbq_ckn_m', 'bbq_ckn_m', 'big_meat_s', 'cali_ckn_l', 'ckn_pesto_m', 'five_cheese_l', 'four_cheese_l', 'pep_msh_pep_s', 'southw_ckn_l', 'southw_ckn_s', 'spicy_ital_l', 'thai_ckn_m', 'thai_ckn_m']",14,234.95
145,2016-03-01 00:00:00,['the_greek_s'],1,12.0
146,2016-03-01 00:00:00,"['the_greek_s', 'four_cheese_m', 'hawaiian_m']",3,40.0
147,2016-01-03 14:32:51,['the_greek_xl'],1,25.5
148,2016-01-03 14:32:51,['mediterraneo_s'],1,12.0
149,2016-01-03 14:48:45,['spinach_fet_m'],1,16.0
150,2016-03-01 00:00:00,['pepperoni_m'],1,12.5
151,2016-01-03 00:00:00,"['southw_ckn_l', 'spinach_supr_s']",2,33.25
152,2016-01-03 00:00:00,"['hawaiian_s', 'spinach_fet_l', 'thai_ckn_s', 'the_greek_m']",4,59.5
153,2016-01-03 00:00:00,['mexicana_m'],1,16.0
154,2016-01-03 15:22:43,['prsc_argla_s'],1,12.5
155,2016-01-03 15:22:43,"['ckn_pesto_s', 'napolitana_l', 'pepperoni_l', 'peppr_salami_l']",4,69.25
156,2016-01-03 15:22:43,"['napolitana_m', 'thai_ckn_l']",2,36.75
157,2016-01-03 15:22:43,"['ital_supr_l', 'mediterraneo_m', 'sicilian_m', 'spin_pesto_m']",4,69.5
158,2016-01-03 15:22:43,"['ital_veggie_m', 'thai_ckn_m']",2,33.5
159,2016-01-03 15:22:43,"['four_cheese_l', 'thai_ckn_m']",2,34.7
160,2016-01-03 15:22:43,['classic_dlx_m'],1,16.0
161,2016-01-03 15:22:43,"['hawaiian_s', 'spicy_ital_m', 'the_greek_xl']",3,52.5
162,2016-03-01 00:00:00,['big_meat_s'],1,12.0
163,2016-03-01 16:54:54,"['hawaiian_m', 'pepperoni_l', 'the_greek_m']",3,44.5
164,2016-03-01 16:54:54,"['cali_ckn_l', 'pepperoni_m']",2,33.25
165,2016-01-03 16:54:54,['prsc_argla_m'],1,16.5
166,2016-01-03 16:54:54,['prsc_argla_s'],1,12.5
167,2016-03-01 00:00:00,"['prsc_argla_s', 'ital_supr_m', 'pepperoni_m']",3,41.5
168,2016-01-03 17:02:27,"['big_meat_s', 'veggie_veg_m']",2,28.0
169,2016-03-01 17:02:27,"['four_cheese_l', 'ital_cpcllo_s', 'sicilian_m']",3,46.2
170,2016-01-03 17:02:27,['hawaiian_l'],1,16.5
171,2016-03-01 00:00:00,['napolitana_m'],1,16.0
172,2016-01-03 00:00:00,"['napolitana_s', 'spinach_supr_m', 'spinach_supr_m']",3,45.0
173,2016-01-03 00:00:00,"['cali_ckn_m', 'cali_ckn_m', 'veggie_veg_l']",3,53.75
174,2016-01-03 00:00:00,"['big_meat_s', 'big_meat_s', 'cali_ckn_m', 'ital_cpcllo_m']",4,56.75
175,2016-03-01 00:00:00,['ital_supr_l'],1,20.75
176,2016-03-01 00:00:00,"['cali_ckn_l', 'peppr_salami_m']",2,37.25
177,2016-03-01 00:00:00,"['napolitana_s', 'thai_ckn_l']",2,32.75
178,2016-01-03 18:15:03,['thai_ckn_l'],1,20.75
179,2016-01-03 18:15:03,"['hawaiian_l', 'sicilian_m', 'veggie_veg_s']",3,44.75
180,2016-01-03 18:15:03,"['classic_dlx_l', 'prsc_argla_l']",2,41.25
181,2016-01-03 18:49:32,['mexicana_l'],1,20.25
182,2016-01-03 18:50:10,"['brie_carre_s', 'peppr_salami_l']",2,44.4
183,2016-01-03 18:50:10,"['peppr_salami_l', 'spin_pesto_l', 'spin_pesto_s']",3,54.0
184,2016-01-03 18:50:10,['hawaiian_l'],1,16.5
185,2016-03-01 00:00:00,"['sicilian_m', 'spin_pesto_s']",2,28.75
186,2016-01-03 00:00:00,"['mexicana_l', 'southw_ckn_l', 'spin_pesto_l', 'thai_ckn_l']",4,82.5
187,2016-01-03 00:00:00,"['five_cheese_l', 'spin_pesto_l']",2,39.25
188,2016-01-03 00:00:00,"['five_cheese_l', 'pepperoni_s', 'peppr_salami_l']",3,49.0
189,2016-01-03 00:00:00,"['big_meat_s', 'big_meat_s', 'big_meat_s']",3,36.0
190,2016-01-03 00:00:00,"['bbq_ckn_l', 'four_cheese_m', 'pep_msh_pep_s', 'prsc_argla_l']",4,67.25
191,2016-01-03 20:24:50,"['cali_ckn_l', 'ckn_alfredo_m']",2,37.5
192,2016-01-03 20:24:50,"['sicilian_s', 'southw_ckn_l']",2,33.0
193,2016-03-01 20:24:50,"['big_meat_s', 'cali_ckn_m', 'ckn_alfredo_l', 'ckn_alfredo_l']",4,70.25
194,2016-01-03 20:24:50,['bbq_ckn_s'],1,12.75
195,2016-03-01 00:00:00,['bbq_ckn_l'],1,20.75
196,2016-01-03 00:00:00,"['sicilian_s', 'spicy_ital_m', 'veggie_veg_m']",3,44.75
197,2016-01-03 00:00:00,"['veggie_veg_m', 'ital_cpcllo_l', 'ital_cpcllo_l', 'soppressata_l']",4,77.75
198,2016-01-03 00:00:00,"['big_meat_s', 'ckn_alfredo_l']",2,32.75
199,2016-03-01 00:00:00,['ckn_alfredo_m'],1,16.75
200,2016-01-03 00:00:00,['ckn_alfredo_m'],1,16.75
201,2016-01-03 00:00:00,"['calabrese_m', 'ckn_pesto_l', 'ital_supr_l', 'ital_supr_l']",4,78.5
202,2016-01-03 00:00:00,['cali_ckn_s'],1,12.75
203,2016-01-04 11:30:00,"['cali_ckn_l', 'ital_veggie_m', 'pep_msh_pep_l', 'the_greek_s']",4,67.0
204,2016-01-04 11:36:00,['spicy_ital_l'],1,20.75
205,2016-01-04 11:36:00,"['cali_ckn_s', 'ckn_alfredo_m', 'prsc_argla_s']",3,42.0
206,2016-04-01 11:36:00,"['napolitana_m', 'pepperoni_s', 'pepperoni_s']",3,35.5
207,2016-04-01 12:03:58,['spicy_ital_l'],1,20.75
208,2016-01-04 12:12:05,"['spicy_ital_l', 'bbq_ckn_s', 'ckn_alfredo_m', 'pepperoni_m', 'the_greek_m']",5,78.75
209,2016-01-04 12:12:05,['cali_ckn_l'],1,20.75
210,2016-01-04 12:34:13,['cali_ckn_l'],1,20.75
211,2016-01-04 12:34:13,['cali_ckn_l'],1,20.75
212,2016-01-04 12:34:13,['ital_cpcllo_l'],1,20.5
213,2016-01-04 13:20:39,['ital_cpcllo_l'],1,20.5
214,2016-01-04 13:20:39,"['ital_cpcllo_l', 'ital_supr_m', 'mexicana_s', 'spin_pesto_m']",4,65.5
215,2016-01-04 13:44:49,['green_garden_s'],1,12.0
216,2016-04-01 00:00:00,"['bbq_ckn_m', 'five_cheese_l', 'hawaiian_l']",3,51.75
217,2016-01-04 00:00:00,"['classic_dlx_m', 'classic_dlx_m']",2,32.0
218,2016-01-04 00:00:00,['spicy_ital_m'],1,16.5
219,2016-01-04 00:00:00,"['bbq_ckn_l', 'five_cheese_l', 'peppr_salami_m', 'spinach_fet_m']",4,71.75
220,2016-01-04 00:00:00,"['spinach_fet_m', 'ital_cpcllo_s', 'napolitana_l', 'spicy_ital_l']",4,69.25
221,2016-01-04 00:00:00,"['five_cheese_l', 'prsc_argla_m', 'the_greek_s']",3,47.0
222,2016-04-01 00:00:00,"['four_cheese_l', 'sicilian_s']",2,30.2
223,2016-01-04 00:00:00,['sicilian_s'],1,12.25
224,2016-01-04 00:00:00,"['ckn_alfredo_s', 'ital_supr_m', 'napolitana_m', 'thai_ckn_l']",4,66.0
225,2016-04-01 00:00:00,"['bbq_ckn_l', 'bbq_ckn_m', 'southw_ckn_s']",3,50.25
226,2016-04-01 00:00:00,['classic_dlx_l'],1,20.5
227,2016-01-04 17:24:39,"['bbq_ckn_m', 'the_greek_m']",2,32.75
228,2016-01-04 17:24:39,['ital_veggie_s'],1,12.75
229,2016-01-04 17:24:39,"['ital_veggie_l', 'prsc_argla_l', 'spin_pesto_s']",3,54.25
230,2016-01-04 17:58:38,['thai_ckn_m'],1,16.75
231,2016-01-04 17:58:38,"['cali_ckn_l', 'napolitana_s', 'napolitana_s']",3,44.75
232,2016-01-04 17:58:38,"['bbq_ckn_m', 'spinach_supr_l']",2,37.5
233,2016-01-04 17:58:38,['spinach_fet_s'],1,12.0
234,2016-01-04 17:58:38,"['ckn_alfredo_m', 'ital_supr_s', 'napolitana_m']",3,45.25
235,2016-04-01 00:00:00,['cali_ckn_m'],1,16.75
236,2016-04-01 00:00:00,"['cali_ckn_m', 'green_garden_m']",2,32.75
237,2016-04-01 19:27:48,['green_garden_m'],1,16.0
238,2016-04-01 19:27:48,['spin_pesto_l'],1,20.75
239,2016-04-01 19:27:48,"['spin_pesto_l', 'thai_ckn_m']",2,37.5
240,2016-04-01 00:00:00,['four_cheese_m'],1,14.75
241,2016-01-04 20:11:25,"['sicilian_m', 'spinach_supr_l']",2,37.0
242,2016-01-04 20:15:29,"['calabrese_m', 'thai_ckn_l', 'veggie_veg_m']",3,53.0
243,2016-04-01 00:00:00,"['classic_dlx_l', 'spinach_supr_s']",2,33.0
244,2016-04-01 00:00:00,"['ital_supr_s', 'spicy_ital_l']",2,33.25
245,2016-04-01 00:00:00,"['bbq_ckn_l', 'ckn_pesto_l']",2,41.5
246,2016-01-04 00:00:00,"['ckn_alfredo_m', 'ckn_alfredo_m']",2,33.5
247,2016-01-04 00:00:00,"['hawaiian_m', 'hawaiian_m', 'spinach_supr_s']",3,39.0
248,2016-01-04 20:58:19,"['hawaiian_s', 'thai_ckn_l']",2,31.25
249,2016-01-04 20:58:19,"['bbq_ckn_l', 'calabrese_s']",2,33.0
250,2016-01-04 20:58:19,['four_cheese_m'],1,14.75
251,2016-01-04 20:58:19,['mexicana_m'],1,16.0
252,2016-01-04 20:58:19,['prsc_argla_m'],1,16.5
253,2016-01-04 20:58:19,['brie_carre_s'],1,23.65
254,2016-04-01 20:58:19,"['bbq_ckn_l', 'brie_carre_s', 'five_cheese_l']",3,62.9
255,2016-01-05 11:23:35,"['five_cheese_l', 'five_cheese_l', 'hawaiian_l', 'spinach_fet_m']",4,69.5
256,2016-01-05 11:56:06,['pep_msh_pep_l'],1,17.5
257,2016-01-05 11:56:06,"['cali_ckn_l', 'ckn_alfredo_l']",2,41.5
258,2016-01-05 11:56:06,['classic_dlx_m'],1,16.0
259,2016-01-05 11:56:06,['pepperoni_l'],1,15.25
260,2016-01-05 12:06:27,"['five_cheese_l', 'the_greek_l']",2,39.0
261,2016-01-05 12:38:29,['brie_carre_s'],1,23.65
262,2016-01-05 12:42:00,['cali_ckn_m'],1,16.75
263,2016-01-05 12:57:22,['spin_pesto_l'],1,20.75
264,2016-01-05 13:03:59,['mexicana_m'],1,16.0
265,2016-01-05 13:03:59,"['ckn_alfredo_m', 'mexicana_l', 'sicilian_m', 'spicy_ital_l']",4,74.0
266,2016-01-05 13:09:29,['peppr_salami_m'],1,16.5
267,2016-05-01 00:00:00,"['four_cheese_l', 'mediterraneo_l', 'napolitana_s']",3,50.2
268,2016-05-01 13:40:46,"['napolitana_s', 'pepperoni_s']",2,21.75
269,2016-01-05 13:40:46,['ckn_alfredo_m'],1,16.75
270,2016-05-01 13:40:46,"['southw_ckn_l', 'spin_pesto_l', 'spin_pesto_l']",3,62.25
271,2016-01-05 14:22:19,"['big_meat_s', 'cali_ckn_m', 'cali_ckn_m', 'ckn_alfredo_m', 'ckn_alfredo_m', 'ckn_pesto_l', 'ckn_pesto_l', 'ckn_pesto_l', 'ital_supr_m', 'ital_supr_m', 'soppressata_m', 'soppressata_m', 'the_greek_s']",13,219.25
272,2016-05-01 00:00:00,['ital_supr_m'],1,16.5
273,2016-01-05 00:00:00,['soppressata_s'],1,12.5
274,2016-01-05 14:36:33,"['four_cheese_l', 'four_cheese_l']",2,35.9
275,2016-01-05 14:36:33,"['classic_dlx_l', 'five_cheese_l', 'pepperoni_s', 'pepperoni_s']",4,58.5
276,2016-05-01 00:00:00,"['five_cheese_l', 'spicy_ital_l']",2,39.25
277,2016-05-01 00:00:00,['four_cheese_m'],1,14.75
278,2016-01-05 00:00:00,"['ital_veggie_m', 'southw_ckn_l']",2,37.5
279,2016-01-05 16:07:03,"['cali_ckn_m', 'ckn_alfredo_m']",2,33.5
280,2016-01-05 16:20:23,"['prsc_argla_m', 'veggie_veg_m']",2,32.5
281,2016-01-05 16:33:48,['sicilian_s'],1,12.25
282,2016-01-05 16:33:48,"['classic_dlx_s', 'classic_dlx_s', 'peppr_salami_l', 'spin_pesto_l']",4,65.5
283,2016-01-05 16:51:43,['napolitana_m'],1,16.0
284,2016-01-05 16:58:16,"['four_cheese_m', 'hawaiian_s', 'napolitana_m']",3,41.25
285,2016-05-01 16:58:16,['prsc_argla_l'],1,20.75
286,2016-01-05 16:58:16,"['ital_supr_m', 'peppr_salami_l']",2,37.25
287,2016-01-05 16:58:16,"['ital_supr_m', 'pep_msh_pep_m', 'pepperoni_m', 'sicilian_s']",4,55.75
288,2016-05-01 16:58:16,"['brie_carre_s', 'prsc_argla_l', 'spinach_supr_l']",3,65.15
289,2016-01-05 16:58:16,['five_cheese_l'],1,18.5
290,2016-01-05 17:41:16,"['classic_dlx_s', 'veggie_veg_m']",2,28.0
291,2016-01-05 17:41:16,"['bbq_ckn_l', 'ckn_alfredo_m', 'ckn_alfredo_m', 'four_cheese_m', 'four_cheese_m']",5,83.75
292,2016-01-05 17:41:16,"['spin_pesto_m', 'spin_pesto_m', 'spinach_fet_l']",3,53.25
293,2016-01-05 17:41:16,"['classic_dlx_s', 'ital_veggie_s']",2,24.75
294,2016-01-05 17:41:16,"['bbq_ckn_m', 'ital_supr_l', 'thai_ckn_l']",3,58.25
295,2016-01-05 18:20:12,['cali_ckn_m'],1,16.75
296,2016-01-05 18:20:12,"['green_garden_s', 'ital_cpcllo_s', 'ital_cpcllo_s']",3,36.0
297,2016-01-05 18:20:12,['southw_ckn_m'],1,16.75
298,2016-01-05 18:20:12,"['cali_ckn_m', 'cali_ckn_m', 'ckn_alfredo_m', 'classic_dlx_s']",4,62.25
299,2016-01-05 18:20:12,"['classic_dlx_s', 'spinach_fet_m']",2,28.0
