week,Alfredo Sauce,Anchovies,Artichoke,Artichokes,Arugula,Asiago Cheese,Bacon,Barbecue Sauce,Barbecued Chicken,Beef Chuck Roast,Blue Cheese,Brie Carre Cheese,Calabrese Salami,Capocollo,Caramelized Onions,Chicken,Chipotle Sauce,Chorizo Sausage,Cilantro,Coarse Sicilian Salami,Corn,Eggplant,Feta Cheese,Fontina Cheese,Friggitello Peppers,Garlic,Genoa Salami,Goat Cheese,Gorgonzola Piccante Cheese,Gouda Cheese,Green Olives,Green Peppers,Italian Sausage,Jalapeno Peppers,Kalamata Olives,Luganega Sausage,Mozzarella Cheese,Mushrooms,Onions,Oregano,Pancetta,Parmigiano Reggiano Cheese,Pears,Peperoncini verdi,Pepperoni,Pesto Sauce,Pineapple,Plum Tomatoes,Prosciutto,Prosciutto di San Daniele,Provolone Cheese,Red Onions,Red Peppers,Ricotta Cheese,Romano Cheese,Sliced Ham,Smoked Gouda Cheese,Soppressata Salami,Spinach,Sun-dried Tomatoes,Thai Sweet Chilli Sauce,Thyme,Tomato Sauce,Tomatoes,Zucchini,Nduja Salami
12,24,16,43,109,21,66,79,35,35,21,28,9,30,116,9,170,72,26,72,52,72,24,76,66,12,505,29,57,28,43,114,85,26,115,50,52,898,189,52,23,12,28,9,34,194,69,86,16,9,21,28,338,314,28,28,49,28,23,179,38,37,9,661,482,47,12
13,30,31,48,135,30,82,91,59,59,34,32,11,33,144,11,182,70,43,70,28,70,22,109,71,17,571,29,82,31,48,115,122,43,118,82,28,1046,214,28,37,17,31,11,45,224,59,96,25,11,30,32,430,363,31,32,49,32,23,216,45,47,11,781,568,55,17
14,26,34,39,105,29,77,82,62,62,34,27,6,41,147,6,180,77,36,77,28,77,19,109,59,22,554,30,76,31,39,123,122,36,116,77,28,1020,205,28,43,22,31,6,33,223,49,95,22,6,29,27,444,374,31,27,40,27,20,191,32,55,6,751,575,45,22
15,15,36,46,124,19,73,80,56,56,38,27,8,35,146,8,167,77,23,77,38,77,15,102,68,18,593,38,73,38,46,126,126,23,123,81,38,1007,205,38,24,18,38,8,49,204,51,94,23,8,19,27,447,354,38,27,51,27,22,214,40,43,8,765,588,63,18
16,9,23,45,107,20,55,90,43,43,28,34,3,46,141,3,171,68,44,68,42,68,23,88,71,16,559,33,62,38,45,136,112,44,113,60,42,965,191,42,23,16,38,3,39,205,66,95,19,3,20,34,363,329,38,34,44,34,26,197,32,51,3,728,552,59,16
17,19,21,33,101,28,67,78,58,58,26,24,9,40,125,9,141,61,32,61,37,61,23,81,47,16,507,29,56,37,33,111,105,32,94,54,37,893,172,37,28,16,37,9,28,187,65,80,9,9,28,24,375,311,37,24,51,24,14,176,31,29,9,661,497,50,16
18,19,30,54,140,21,69,87,47,47,21,25,12,37,130,12,152,54,36,54,23,54,23,81,79,11,551,26,67,46,54,110,110,36,108,60,23,958,203,23,25,11,46,12,42,214,74,88,15,12,21,25,364,295,46,25,57,25,25,219,51,31,12,733,495,53,11
19,18,26,58,126,32,60,92,46,46,37,36,13,34,140,13,175,53,48,53,38,53,20,101,90,26,609,26,80,51,58,118,100,48,111,72,38,1086,193,38,36,26,51,13,44,235,63,117,19,13,32,36,371,311,51,36,66,36,32,208,46,51,13,855,543,47,26
20,16,26,39,111,23,59,93,55,55,18,26,10,38,122,10,153,58,35,58,34,58,10,89,50,22,504,21,63,39,39,114,118,35,97,58,34,921,201,34,18,22,39,10,45,218,44,79,18,10,23,26,399,309,39,26,34,26,11,197,34,45,10,703,493,41,22
21,22,21,40,111,33,63,84,51,51,31,33,8,50,142,8,140,53,42,53,38,53,18,116,63,26,546,25,67,39,40,135,95,42,93,71,38,947,192,38,27,26,39,8,40,184,47,71,24,8,33,33,396,285,39,33,40,33,23,195,37,31,8,743,507,43,26
22,18,25,52,100,25,70,86,48,48,21,26,9,49,152,9,170,78,43,78,41,78,11,90,73,15,562,28,75,38,52,137,104,43,130,57,41,977,195,41,41,15,38,9,34,208,42,89,12,9,25,26,396,322,38,26,46,26,21,204,31,43,9,748,539,39,15
23,22,38,41,98,33,52,82,40,40,28,32,8,38,121,8,153,73,49,73,37,73,12,76,54,24,529,20,63,27,41,125,96,49,114,55,37,911,155,37,23,24,27,8,40,174,56,82,17,8,33,32,376,295,27,32,49,32,13,177,36,33,8,687,506,46,24
24,22,32,53,129,27,78,69,40,40,22,29,12,35,127,12,163,61,25,61,38,61,15,112,72,17,555,26,66,31,53,143,98,25,114,73,38,945,212,38,25,17,31,12,41,177,51,90,21,12,27,29,388,297,31,29,47,29,19,242,43,43,12,728,532,48,17
25,20,31,50,120,26,63,67,41,41,33,30,9,35,129,9,191,63,25,63,35,63,20,92,71,19,546,29,65,33,50,113,97,25,113,67,35,954,178,35,25,19,33,9,40,195,71,96,20,9,26,30,367,313,33,30,41,30,21,196,46,55,9,704,525,42,19
26,14,23,41,144,31,54,100,60,60,33,21,12,50,153,12,143,54,44,54,36,54,22,102,66,22,565,22,81,36,41,130,119,44,95,77,36,1004,197,36,34,22,36,12,47,214,69,85,26,12,31,21,406,328,36,21,41,21,25,203,57,44,12,763,561,50,22
27,19,28,38,124,39,67,92,56,56,19,40,14,33,146,14,190,86,34,86,32,86,15,102,68,28,570,30,83,21,38,124,120,34,124,58,32,1064,233,32,32,28,21,14,51,230,62,96,21,14,39,40,424,376,21,40,41,40,30,213,40,55,14,786,588,42,28
28,16,22,51,107,35,70,83,44,44,25,39,18,35,134,18,168,62,38,62,44,62,18,104,65,13,572,32,67,48,51,118,90,38,113,63,44,977,184,44,32,13,48,18,35,203,48,88,16,18,35,39,372,304,48,39,41,39,14,208,32,47,18,760,504,44,13
29,20,33,43,134,16,71,91,49,49,24,34,4,21,148,4,168,78,40,78,36,78,23,93,59,24,556,38,89,35,43,110,122,40,121,66,36,991,200,36,32,24,35,4,57,223,49,90,29,4,16,34,400,357,35,34,38,34,16,189,41,52,4,743,564,61,24
30,16,31,40,110,25,61,99,41,41,32,27,6,31,113,6,152,71,42,71,25,71,13,88,62,13,500,19,63,28,40,106,89,42,111,73,25,909,184,25,23,13,28,6,40,216,51,88,15,6,25,27,382,310,28,27,48,27,22,187,31,40,6,690,489,40,13
31,17,24,66,97,24,45,84,55,55,14,36,8,33,106,8,175,64,41,64,35,64,16,78,82,28,524,16,57,27,66,105,113,41,130,45,35,923,179,35,23,28,27,8,34,185,57,88,19,8,24,36,366,309,27,36,47,36,16,208,35,41,8,689,474,41,28
32,23,30,56,117,35,74,87,35,35,28,24,5,51,149,5,194,62,34,62,42,62,22,99,72,17,574,29,69,42,56,142,94,34,118,65,42,1024,207,42,28,17,42,5,41,226,61,106,15,5,35,24,398,321,42,24,55,24,16,213,32,51,5,792,541,47,17
33,16,30,58,130,29,67,94,41,41,28,19,6,41,143,6,165,62,42,62,29,62,13,106,84,14,556,30,72,29,58,121,108,42,120,72,29,977,216,29,29,14,29,6,43,228,61,79,23,6,29,19,393,300,29,19,41,19,26,236,53,38,6,759,519,44,14
34,17,25,35,106,23,58,79,46,46,32,39,12,28,112,12,140,63,30,63,48,63,22,94,48,17,510,25,59,30,35,118,96,30,98,65,48,906,174,48,24,17,30,12,35,194,51,86,17,12,23,39,364,298,30,39,48,39,13,168,33,38,12,691,491,48,17
35,27,22,36,70,30,60,70,50,50,23,23,12,23,96,12,165,52,29,52,33,52,5,92,50,11,434,17,56,35,36,101,103,29,88,55,33,848,188,33,37,11,35,12,19,182,37,85,16,12,30,23,339,308,35,23,35,23,14,181,30,50,12,632,441,33,11
36,16,15,47,135,35,58,96,45,45,31,30,11,43,138,11,171,74,41,74,40,74,30,109,71,11,561,25,70,39,47,127,109,41,121,71,40,1033,214,40,27,11,39,11,43,215,68,111,23,11,35,30,386,345,39,30,59,30,24,210,45,52,11,778,550,60,11
37,19,32,50,108,34,70,100,45,45,26,29,11,24,104,11,198,61,38,61,32,61,13,97,65,22,532,31,49,45,50,105,111,38,111,71,32,1007,208,32,13,22,45,11,36,243,66,102,25,11,34,29,396,332,45,29,53,29,15,225,39,49,11,767,505,44,22
38,15,36,37,70,15,47,47,32,32,20,15,1,31,77,1,125,45,19,45,23,45,11,68,53,16,359,10,36,20,37,106,55,19,82,54,23,644,118,23,20,16,20,1,16,127,32,69,12,1,15,15,287,203,20,15,39,15,16,138,21,30,1,490,359,21,16
39,25,31,42,108,31,62,100,57,57,38,33,15,34,128,15,180,77,36,77,47,77,24,106,60,23,566,25,69,38,42,140,113,36,119,66,47,1052,215,47,36,23,38,15,33,224,60,98,16,15,31,33,425,376,38,33,42,33,18,182,39,56,15,777,581,48,23
40,7,24,27,94,30,47,70,30,30,19,24,6,35,105,6,122,62,35,62,36,62,22,77,48,12,453,23,47,49,27,111,64,35,89,54,36,798,137,36,23,12,49,6,24,177,49,70,18,6,30,24,298,245,49,24,33,24,21,144,31,37,6,613,422,37,12
41,14,33,34,110,39,63,91,38,38,26,27,10,27,116,10,166,64,41,64,42,64,21,84,61,18,535,26,63,36,34,122,94,41,98,60,42,966,194,42,25,18,36,10,38,210,61,106,11,10,39,27,364,321,36,27,53,27,27,188,28,53,10,736,527,54,18
42,16,27,34,107,19,54,73,36,36,26,29,5,39,128,5,139,53,25,53,30,53,26,70,53,20,502,24,65,45,34,112,96,25,87,54,30,851,173,30,23,20,45,5,42,178,53,79,14,5,19,29,341,296,45,29,35,29,19,153,25,44,5,649,481,60,20
43,16,33,36,73,28,67,82,31,31,22,26,7,18,99,7,144,62,40,62,38,62,7,57,48,18,429,36,45,40,36,108,71,40,98,46,38,799,136,38,18,18,40,7,27,196,33,85,9,7,28,26,291,249,40,26,41,26,12,130,24,44,7,613,432,25,18
44,22,27,45,124,31,78,81,48,48,37,26,10,37,144,10,174,80,32,80,48,80,14,114,64,22,559,38,69,31,45,132,88,32,125,88,48,996,174,48,26,22,31,10,43,216,53,81,33,10,31,26,414,321,31,26,39,26,19,196,49,42,10,751,556,31,22
45,29,21,46,114,30,82,84,55,55,18,27,9,52,145,9,181,70,45,70,33,70,14,87,62,16,516,31,62,32,46,122,100,45,116,66,33,961,172,33,27,16,32,9,35,209,52,88,26,9,30,27,402,322,32,27,48,27,16,202,43,40,9,715,515,41,16
46,15,23,35,117,21,63,78,59,59,27,23,12,45,133,12,159,67,34,67,29,67,10,83,53,26,544,28,60,39,35,107,111,34,102,69,29,946,163,29,19,26,39,12,41,187,66,102,22,12,21,23,408,325,39,23,59,23,18,203,46,43,12,696,539,46,26
47,20,33,48,136,35,73,105,52,52,37,35,11,35,145,11,193,88,41,88,67,88,26,105,69,32,666,36,74,41,48,150,120,41,136,75,67,1168,220,67,33,32,41,11,41,234,70,129,21,11,35,35,469,397,41,35,66,35,21,215,52,63,11,875,657,64,32
48,19,29,40,102,24,57,74,52,52,21,22,7,46,121,7,153,58,38,58,36,58,20,76,57,15,504,25,50,40,40,129,119,38,98,51,36,918,177,36,19,15,40,7,31,196,63,100,17,7,24,22,354,300,40,22,54,22,17,179,38,46,7,680,500,48,15
49,20,30,50,114,26,76,72,39,39,27,20,12,35,135,12,178,91,29,91,42,91,21,94,66,19,561,40,60,34,50,122,92,29,141,61,42,964,181,42,14,19,34,12,46,191,50,104,18,12,26,20,403,321,34,20,58,20,16,193,31,46,12,718,541,52,19
50,21,22,55,136,26,73,78,37,37,33,14,12,35,128,12,180,59,30,59,44,59,29,106,70,15,541,30,63,27,55,116,97,30,114,86,44,960,186,44,29,15,27,12,34,216,69,92,31,12,26,14,382,326,27,14,41,14,15,222,51,51,12,723,527,61,15
51,14,13,49,103,19,41,78,39,39,28,15,4,23,104,4,152,44,38,44,35,44,20,94,57,14,421,18,63,28,49,83,73,38,93,64,35,777,135,35,30,14,28,4,33,153,51,92,27,4,19,15,297,268,28,15,47,15,8,174,41,45,4,584,413,39,14
52,11,22,28,60,20,39,60,30,30,16,14,5,21,90,5,105,36,27,36,19,36,7,52,40,12,361,19,50,33,28,74,83,27,64,34,19,630,136,19,30,12,33,5,20,131,36,64,9,5,20,14,248,227,33,14,32,14,12,136,24,32,5,485,348,41,12
